Start Time,End Time,Duration (h),Start SOC (%),End SOC (%),Energy Added (kWh),Avg Power (kW),Max Power (kW)
2025-02-07 06:43:44+00:00,2025-02-20 00:06:03+00:00,305.37,35.0,54.0,14.63,15.8,169.0
2025-02-20 01:25:17.784000+00:00,2025-07-24 06:29:35+00:00,3701.07,54.0,60.0,4.62,12.1,146.0
2025-07-24 07:25:50.424000+00:00,2025-07-24 07:28:19+00:00,0.04,60.0,73.0,10.01,10.0,10.0
2025-07-24 14:43:56.404000+00:00,2025-10-17 09:43:56+00:00,2035.0,73.0,74.0,0.77,11.2,113.0
2025-10-17 10:06:04.668000+00:00,2026-01-09 08:22:45+00:00,2014.28,74.0,36.0,0.0,9.8,175.0
2026-01-09 10:06:15.371000+00:00,2026-01-09 12:27:11+00:00,2.35,36.0,64.0,21.56,8.5,10.0
2026-01-09 14:36:12.309000+00:00,2026-01-10 12:25:32+00:00,21.82,64.0,72.0,6.16,8.3,10.0
2026-01-10 14:52:58.433000+00:00,2026-01-14 07:37:01.678000+00:00,88.73,72.0,75.0,2.31,8.5,10.0
2026-01-14 08:05:47.440000+00:00,2026-01-27 07:11:07+00:00,311.09,75.0,23.0,0.0,9.7,10.0
2026-01-27 08:05:34.040000+00:00,2026-01-28 12:40:25.168000+00:00,28.58,23.0,38.0,11.55,9.2,10.0
2026-01-28 13:32:56.481000+00:00,2026-01-31 23:47:36+00:00,82.24,38.0,90.0,40.04,9.8,10.0
